   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Downloading onnxruntime (16.6MiB)
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
 Downloading onnxruntime
Installed 5 packages in 5.40s
import time: self [us] | cumulative | imported package
import time:     15372 |      38465 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      9631 |       9631 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:      7170 |       7170 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:      4898 |      60163 |               omegaconf.grammar_visitor
import time:      6256 |      66418 |             omegaconf.grammar_parser
import time:      4293 |       4293 |                 attr._compat
import time:       713 |        713 |                   __future__
import time:        63 |         63 |                   unicodedata
import time:      5705 |       5705 |                   attr._config
import time:      4936 |       4936 |                     attr.exceptions
import time:      5092 |      10028 |                   attr.setters
import time:      6876 |      23383 |                 attr._make
import time:      8432 |      36106 |               attr.converters
import time:      4891 |       4891 |               attr.filters
import time:      7201 |       7201 |               attr.validators
import time:      5056 |       5056 |               attr._cmp
import time:      4850 |       4850 |               attr._funcs
import time:      4188 |       4188 |               attr._next_gen
import time:      5115 |       5115 |               attr._version_info
import time:      5984 |      73387 |             attr
import time:     27044 |     425537 |           omegaconf._utils
import time:     38817 |    1537173 |         omegaconf.base
import time:      5911 |       5911 |           omegaconf.basecontainer
import time:      7866 |       7866 |           omegaconf.nodes
import time:      6516 |      20293 |         omegaconf.dictconfig
import time:      5001 |       5001 |         omegaconf.listconfig
import time:     12274 |      12274 |               omegaconf.resolvers.oc.dict
import time:     14038 |      26312 |             omegaconf.resolvers.oc
import time:      7774 |      34085 |           omegaconf.resolvers
import time:      5655 |      39739 |         omegaconf.omegaconf
import time:      4857 |       4857 |         omegaconf.version
import time:     26412 |    1633473 |       omegaconf
import time:      1699 |       1699 |           gettext
import time:      1579 |       3277 |         argparse
import time:      8061 |       8061 |             hydra.core
import time:     10960 |      19020 |           hydra.core.config_search_path
import time:      6607 |      25627 |         hydra._internal.config_search_path_impl
import time:      6089 |       6089 |               packaging
import time:      5544 |       5544 |               packaging._structures
import time:      9262 |      20895 |             packaging.version
import time:      6032 |       6032 |               hydra.errors
import time:      5945 |      11976 |             hydra._internal.deprecation_warning
import time:     11048 |      11048 |             hydra.core.singleton
import time:      5857 |      49775 |           hydra.version
import time:      5983 |       5983 |                 hydra.core.object_type
import time:      8962 |       8962 |                   hydra.plugins
import time:      8355 |       8355 |                   hydra.core.default_element
import time:      7843 |       7843 |                   hydra.plugins.plugin
import time:      9607 |      34766 |                 hydra.plugins.config_source
import time:      7181 |      47929 |               hydra.core.config_store
import time:      5159 |       5159 |               hydra.types
import time:     19065 |      72151 |             hydra.conf
import time:      7013 |      79163 |           hydra.core.hydra_config
import time:      6595 |     135532 |         hydra.core.utils
import time:      6975 |     171410 |       hydra._internal.utils
import time:     42749 |    1934923 |     hydra._internal.instantiate._instantiate2
import time:     26054 |    2015540 |   hydra.utils
import time:      5291 |       5291 |   hydra.main
import time:      6750 |       6750 |         hydra.core.config_loader
import time:       107 |        107 |             importlib._abc
import time:       321 |        427 |           importlib.util
import time:      2423 |       2423 |           pkgutil
import time:       190 |        190 |             gc
import time:      3099 |       3289 |           timeit
import time:      9419 |       9419 |           hydra._internal.sources_registry
import time:      7594 |       7594 |           hydra.plugins.completion_plugin
import time:      6992 |       6992 |           hydra.plugins.launcher
