import time: self [us] | cumulative | imported package
import time:      6092 |      41753 |                           packaging.specifiers
import time:      7499 |      49251 |                         packaging._tokenizer
import time:      4186 |      53437 |                       packaging._parser
import time:      4985 |       4985 |                       packaging.markers
import time:      5377 |      63798 |                     packaging.requirements
import time:      6187 |      97363 |                   lightning_utilities.core.imports
import time:       459 |        459 |                           unittest.util
import time:       704 |       1162 |                         unittest.result
import time:      1196 |       1196 |                           difflib
import time:      1041 |       1041 |                           pprint
import time:       962 |       3199 |                         unittest.case
import time:       360 |        360 |                         unittest.suite
import time:       766 |        766 |                         unittest.loader
import time:       351 |        351 |                             unittest.signals
import time:       457 |        807 |                           unittest.runner
import time:       385 |       1192 |                         unittest.main
import time:      1135 |       7812 |                       unittest
import time:       898 |        898 |                             concurrent
import time:       833 |        833 |                             concurrent.futures._base
import time:       559 |       2290 |                           concurrent.futures
import time:      5368 |       5368 |                             _ssl
import time:      3518 |       8886 |                           ssl
import time:       425 |        425 |                           asyncio.constants
import time:       278 |        278 |                               asyncio.format_helpers
import time:       314 |        591 |                             asyncio.base_futures
import time:       272 |        272 |                             asyncio.log
import time:       467 |       1329 |                           asyncio.coroutines
import time:      1139 |       1139 |                               _contextvars
import time:      1318 |       2456 |                             contextvars
import time:       381 |        381 |                               asyncio.exceptions
import time:       310 |        310 |                               asyncio.base_tasks
import time:      1681 |       2371 |                             _asyncio
import time:       647 |       5473 |                           asyncio.events
import time:       328 |        328 |                           asyncio.futures
import time:       387 |        387 |                           asyncio.protocols
import time:       422 |        422 |                             asyncio.transports
import time:       476 |        897 |                           asyncio.sslproto
import time:       301 |        301 |                               asyncio.mixins
import time:       972 |        972 |                               asyncio.tasks
import time:       355 |       1627 |                             asyncio.locks
import time:       420 |       2047 |                           asyncio.staggered
import time:       383 |        383 |                           asyncio.trsock
import time:      1061 |      23501 |                         asyncio.base_events
import time:       289 |        289 |                         asyncio.runners
import time:       396 |        396 |                         asyncio.queues
import time:       552 |        552 |                         asyncio.streams
import time:       408 |        408 |                         asyncio.subprocess
import time:       306 |        306 |                         asyncio.threads
import time:       410 |        410 |                           asyncio.base_subprocess
import time:       519 |        519 |                           asyncio.selector_events
import time:       711 |       1639 |                         asyncio.unix_events
import time:      1149 |      28237 |                       asyncio
import time:      1220 |      37267 |                     unittest.mock
import time:      5927 |      43194 |                   lightning_utilities.core.overrides
import time:      6561 |       6561 |                   lightning_utilities.core.rank_zero
import time:      8422 |     177173 |                 lightning_utilities.core
import time:        23 |     177196 |               lightning_utilities.core.apply_func
import time:      8182 |     191914 |             lightning_utilities
import time:        11 |     191925 |           lightning_utilities.core
import time:        22 |     191946 |         lightning_utilities.core.imports
import time:      1937 |       1937 |               _ctypes
import time:       622 |        622 |               ctypes._endian
import time:      1600 |       4158 |             ctypes
import time:      1101 |       1101 |             glob
import time:      7120 |       7120 |             torch._utils
import time:      1190 |       1190 |               tempfile
import time:      6980 |       6980 |                 torch._strobelight
import time:      1062 |       1062 |                       _json
import time:       536 |       1598 |                     json.scanner
import time:       703 |       2300 |                   json.decoder
import time:       530 |        530 |                   json.encoder
import time:       963 |       3792 |                 json
import time:      5531 |       5531 |                 torch._strobelight.cli_function_profiler
import time:     10596 |      26898 |               torch._strobelight.compile_time_profiler
import time:      4387 |      32474 |             torch._utils_internal
import time:      7511 |       7511 |                   torch._vendor
import time:     13374 |      20884 |                 torch._vendor.packaging
import time:      6249 |       6249 |                 torch._vendor.packaging._structures
import time:     11885 |      39017 |               torch._vendor.packaging.version
import time:      5769 |       5769 |               torch.version
import time:      5121 |      49905 |             torch.torch_version
import time:       883 |        883 |             torch._rocm_init
import time:      7327 |       7327 |                     numpy._utils._convertions
import time:      4612 |      11939 |                   numpy._utils
import time:      4320 |      16258 |                 numpy._globals
import time:      3600 |       3600 |                 numpy.exceptions
import time:      3472 |       3472 |                 numpy.version
import time:       558 |        558 |                   numpy._distributor_init_local
import time:      4829 |       5386 |                 numpy._distributor_init
import time:      3868 |       3868 |                           numpy._utils._inspect
import time:     26849 |      26849 |                             numpy.core._exceptions
import time:      2837 |       2837 |                             numpy.dtypes
import time:     81300 |     110985 |                           numpy.core._multiarray_umath
import time:      4303 |     119154 |                         numpy.core.overrides
import time:      7518 |     126672 |                       numpy.core.multiarray
import time:      2951 |       2951 |                       numpy.core.umath
import time:      4078 |       4078 |                         numpy.core._string_helpers
import time:       838 |        838 |                               pickle5
import time:      7218 |       8056 |                             numpy.compat.py3k
import time:     10150 |      18205 |                           numpy.compat
import time:      4860 |       4860 |                           numpy.core._dtype
import time:     28301 |      51365 |                         numpy.core._type_aliases
import time:      4083 |      59525 |                       numpy.core.numerictypes
import time:      4386 |       4386 |                               numpy.core._ufunc_config
import time:      5942 |      10327 |                             numpy.core._methods
import time:      4773 |      15100 |                           numpy.core.fromnumeric
import time:      3348 |      18447 |                         numpy.core.shape_base
import time:      4023 |       4023 |                         numpy.core.arrayprint
import time:      6425 |       6425 |                         numpy.core._asarray
import time:      4518 |      33411 |                       numpy.core.numeric
import time:      4481 |       4481 |                       numpy.core.defchararray
import time:      4148 |       4148 |                       numpy.core.records
import time:      3982 |       3982 |                       numpy.core.memmap
import time:      4242 |       4242 |                       numpy.core.function_base
import time:      3158 |       3158 |                       numpy.core._machar
import time:      2954 |       2954 |                       numpy.core.getlimits
import time:      3890 |       3890 |                       numpy.core.einsumfunc
import time:      2747 |       2747 |                         numpy.core._multiarray_tests
import time:      4836 |       7582 |                       numpy.core._add_newdocs
import time:      3398 |       3398 |                       numpy.core._add_newdocs_scalars
import time:      3137 |       3137 |                       numpy.core._dtype_ctypes
import time:      3819 |       3819 |                       numpy.core._internal
import time:      4138 |       4138 |                       numpy._pytesttester
import time:      7717 |     279194 |                     numpy.core
import time:        25 |     279218 |                   numpy.core._multiarray_umath
import time:      5874 |     285092 |                 numpy.__config__
import time:      5943 |       5943 |                   numpy.lib.mixins
import time:      3870 |       3870 |                       numpy.lib.ufunclike
import time:      4662 |       8532 |                     numpy.lib.type_check
import time:      5643 |      14175 |                   numpy.lib.scimath
import time:      3174 |       3174 |                               numpy.lib.stride_tricks
import time:      3313 |       6486 |                             numpy.lib.twodim_base
import time:      9073 |       9073 |                             numpy.linalg._umath_linalg
import time:      5417 |       5417 |                               numpy._typing._nested_sequence
import time:      3892 |       3892 |                               numpy._typing._nbit
import time:      4316 |       4316 |                               numpy._typing._char_codes
import time:      3644 |       3644 |                               numpy._typing._scalars
import time:      3128 |       3128 |                               numpy._typing._shape
import time:      8855 |       8855 |                               numpy._typing._dtype_like
import time:      4355 |       4355 |                               numpy._typing._array_like
import time:      4034 |      37638 |                             numpy._typing
import time:      7322 |      60517 |                           numpy.linalg.linalg
import time:      5166 |      65682 |                         numpy.linalg
import time:      6060 |      71742 |                       numpy.matrixlib.defmatrix
import time:      6147 |      77888 |                     numpy.matrixlib
import time:      5363 |       5363 |                       numpy.lib.histograms
import time:      5743 |      11105 |                     numpy.lib.function_base
import time:      4293 |      93285 |                   numpy.lib.index_tricks
import time:      3603 |       3603 |                   numpy.lib.nanfunctions
import time:      3552 |       3552 |                   numpy.lib.shape_base
import time:      4519 |       4519 |                   numpy.lib.polynomial
import time:      5464 |       5464 |                   numpy.lib.utils
import time:      3969 |       3969 |                   numpy.lib.arraysetops
import time:      4072 |       4072 |                     numpy.lib.format
import time:      6108 |       6108 |                     numpy.lib._datasource
import time:      7756 |       7756 |                     numpy.lib._iotools
import time:      9342 |      27277 |                   numpy.lib.npyio
import time:      5538 |       5538 |                   numpy.lib.arrayterator
import time:      4802 |       4802 |                   numpy.lib.arraypad
import time:      5757 |       5757 |                   numpy.lib._version
import time:      5591 |     183468 |                 numpy.lib
import time:      3063 |       3063 |                     numpy.fft._pocketfft_internal
import time:      7329 |      10392 |                   numpy.fft._pocketfft
import time:      2757 |       2757 |                   numpy.fft.helper
import time:      7827 |      20975 |                 numpy.fft
import time:      4547 |       4547 |                     numpy.polynomial.polyutils
import time:      4706 |       4706 |                     numpy.polynomial._polybase
import time:      8422 |      17674 |                   numpy.polynomial.polynomial
import time:      6358 |       6358 |                   numpy.polynomial.chebyshev
import time:      5331 |       5331 |                   numpy.polynomial.legendre
import time:      4643 |       4643 |                   numpy.polynomial.hermite
import time:      5394 |       5394 |                   numpy.polynomial.hermite_e
import time:      4466 |       4466 |                   numpy.polynomial.laguerre
import time:      5931 |      49794 |                 numpy.polynomial
import time:       823 |        823 |                           backports_abc
import time:      4479 |       5302 |                         numpy.random._common
import time:      1910 |       1910 |                             _hashlib
import time:        51 |         51 |                               _blake2
import time:      1072 |       1123 |                             hashlib
import time:      1000 |       4031 |                           hmac
import time:      1385 |       5416 |                         secrets
import time:      3356 |      14072 |                       numpy.random.bit_generator
import time:      2697 |       2697 |                       numpy.random._bounded_integers
import time:      2286 |       2286 |                       numpy.random._mt19937
import time:      5812 |      24866 |                     numpy.random.mtrand
import time:      2324 |       2324 |                     numpy.random._philox
import time:      2598 |       2598 |                     numpy.random._pcg64
import time:      1894 |       1894 |                     numpy.random._sfc64
import time:      6006 |       6006 |                     numpy.random._generator
import time:      7176 |      44860 |                   numpy.random._pickle
import time:      7081 |      51941 |                 numpy.random
import time:      3065 |       3065 |                 numpy.ctypeslib
import time:     16110 |      16110 |                   numpy.ma.core
import time:      4806 |       4806 |                   numpy.ma.extras
import time:      7474 |      28389 |                 numpy.ma
import time:      7547 |     658980 |               numpy
import time:   1549996 |    2208975 |             torch._C
import time:      2792 |       2792 |               torch._namedtensor_internals
import time:      4789 |       4789 |               torch.overrides
import time:      3572 |      11152 |             torch._tensor
import time:      3156 |       3156 |               torch.types
import time:      3734 |       6890 |             torch.storage
import time:      5895 |       5895 |               torch.amp.autocast_mode
import time:      5651 |       5651 |               torch.amp.grad_scaler
import time:      4836 |      16380 |             torch.amp
import time:      2883 |       2883 |             torch.random
import time:        59 |         59 |                 pwd
import time:        33 |         33 |                 grp
import time:      1887 |       1978 |               tarfile
import time:      3548 |       3548 |               torch._weights_only_unpickler
import time:      4884 |       4884 |               torch._sources
import time:      1682 |       1682 |               mmap
import time:      4947 |      17038 |             torch.serialization
import time:      3791 |       3791 |             torch._tensor_str
import time:      7967 |       7967 |               torch.cuda.gds
import time:      6445 |       6445 |               torch.cuda._utils
import time:      5159 |       5159 |               torch.cuda.graphs
import time:      4397 |       4397 |               torch.cuda.streams
import time:       668 |        668 |                 ctypes.util
import time:      9588 |      10256 |               pynvml
import time:      5509 |       5509 |                 torch.cuda._memory_viz
import time:      5278 |      10786 |               torch.cuda.memory
import time:      5657 |       5657 |               torch.cuda.random
import time:      9303 |       9303 |                 torch.cuda.amp.autocast_mode
import time:      8960 |       8960 |                 torch.cuda.amp.common
import time:      7498 |       7498 |                 torch.cuda.amp.grad_scaler
import time:      9720 |      35479 |               torch.cuda.amp
import time:      6000 |       6000 |               torch.cuda.jiterator
import time:      7339 |       7339 |               torch.cuda.nvtx
import time:      6681 |       6681 |               torch.cuda.profiler
import time:      7343 |       7343 |               torch.cuda.sparse
import time:       504 |        504 |                     multiprocessing.process
import time:       495 |        495 |                     multiprocessing.reduction
import time:       873 |       1871 |                   multiprocessing.context
import time:      1639 |       3510 |                 multiprocessing
import time:      6974 |      10483 |               torch.cuda.tunable
import time:     46504 |     170491 |             torch.cuda
import time:      6169 |       6169 |                 torch.sparse._semi_structured_conversions
import time:      5480 |       5480 |                 torch.sparse._semi_structured_ops
import time:     10518 |      22166 |               torch.sparse.semi_structured
import time:      8892 |      31057 |             torch.sparse
import time:      3381 |       3381 |             torch._compile
