import time: self [us] | cumulative | imported package
import time:        36 |         36 |                   _bisect
import time:       595 |        630 |                 bisect
import time:        29 |         29 |                 _random
import time:        25 |         25 |                 _sha512
import time:       972 |       1654 |               random
import time:     10861 |      10861 |                 hydra._internal.grammar
import time:     14302 |      25163 |               hydra._internal.grammar.utils
import time:     14036 |      54671 |             hydra.core.override_parser.types
import time:      7455 |      62125 |           hydra._internal.defaults_list
import time:      7540 |       7540 |             hydra._internal.grammar.grammar_functions
import time:     13997 |      13997 |             hydra._internal.grammar.functions
import time:     18775 |      18775 |                   hydra.grammar
import time:     11883 |      30657 |                 hydra.grammar.gen
import time:     16215 |      46871 |               hydra.grammar.gen.OverrideLexer
import time:     11288 |      11288 |               hydra.grammar.gen.OverrideParser
import time:      9484 |       9484 |               hydra.grammar.gen.OverrideParserVisitor
import time:     15494 |      83135 |             hydra.core.override_parser.overrides_visitor
import time:     10727 |     115398 |           hydra.core.override_parser.overrides_parser
import time:      8043 |     192880 |         hydra._internal.config_loader_impl
import time:      7417 |     257491 |       hydra._internal.hydra
import time:      8164 |     265654 |     hydra.core.global_hydra
import time:      4212 |     269866 |   hydra.compose
import time:     41582 |      41582 |   hydra.initialize
import time:     14024 |    2037567 | hydra
import time:      6512 |       6512 |     lightning.__about__
import time:      5628 |       5628 |     lightning.__version__
import time:      9142 |       9142 |               lightning_utilities.__about__
import time:     12498 |      12498 |                   lightning_utilities.core.apply_func
import time:      6214 |       6214 |                     typing_extensions
import time:      6774 |      12988 |                   lightning_utilities.core.enums
import time:       167 |        167 |                         _csv
import time:       913 |       1079 |                       csv
import time:       852 |        852 |                       email
import time:       171 |        171 |                           zlib
import time:      1531 |       1531 |                             _compression
import time:      1018 |       1018 |                             _bz2
import time:      1281 |       3829 |                           bz2
import time:       991 |        991 |                             _lzma
import time:       980 |       1970 |                           lzma
import time:      1564 |       7533 |                         shutil
import time:      1287 |       8819 |                       zipfile
import time:       785 |        785 |                           uu
import time:       826 |        826 |                           quopri
import time:      1252 |       1252 |                                 locale
import time:       980 |       2231 |                               calendar
import time:       153 |       2383 |                             email._parseaddr
import time:       113 |        113 |                               email.base64mime
import time:       146 |        146 |                               email.quoprimime
import time:       332 |        332 |                               email.errors
import time:       114 |        114 |                               email.encoders
import time:       204 |        907 |                             email.charset
import time:       412 |       3701 |                           email.utils
import time:       441 |        441 |                             email.header
import time:       254 |        695 |                           email._policybase
import time:       220 |        220 |                           email._encoded_words
import time:        96 |         96 |                           email.iterators
import time:       527 |       6847 |                         email.message
import time:        72 |         72 |                           importlib.metadata._functools
import time:       104 |        176 |                         importlib.metadata._text
import time:       307 |       7330 |                       importlib.metadata._adapters
import time:       225 |        225 |                       importlib.metadata._meta
import time:       208 |        208 |                       importlib.metadata._collections
import time:        79 |         79 |                       importlib.metadata._itertools
import time:       331 |        331 |                       importlib.abc
import time:      1828 |      20748 |                     importlib.metadata
import time:      6308 |       6308 |                                 sysconfig
import time:      6480 |       6480 |                                   packaging._elffile
import time:      5123 |      11602 |                                 packaging._manylinux
import time:      5887 |       5887 |                                 packaging._musllinux
import time:      8025 |      31821 |                               packaging.tags
import time:      5445 |      37266 |                             packaging.utils
import time:      8980 |      46245 |                           packaging.specifiers
import time:      9823 |      56067 |                         packaging._tokenizer
import time:      5882 |      61949 |                       packaging._parser
import time:      5539 |       5539 |                       packaging.markers
import time:      7944 |      75430 |                     packaging.requirements
import time:      5903 |     102080 |                   lightning_utilities.core.imports
import time:       194 |        194 |                           unittest.util
import time:       260 |        454 |                         unittest.result
import time:      1322 |       1322 |                           difflib
import time:       882 |        882 |                           pprint
import time:       908 |       3111 |                         unittest.case
import time:       197 |        197 |                         unittest.suite
import time:       603 |        603 |                         unittest.loader
import time:        94 |         94 |                             unittest.signals
import time:       154 |        248 |                           unittest.runner
import time:       201 |        448 |                         unittest.main
import time:       868 |       5679 |                       unittest
import time:       696 |        696 |                             concurrent
import time:       431 |        431 |                             concurrent.futures._base
import time:       187 |       1312 |                           concurrent.futures
import time:      1811 |       1811 |                             _ssl
import time:      2839 |       4650 |                           ssl
import time:       189 |        189 |                           asyncio.constants
import time:        88 |         88 |                               asyncio.format_helpers
import time:       150 |        237 |                             asyncio.base_futures
import time:        91 |         91 |                             asyncio.log
import time:       170 |        498 |                           asyncio.coroutines
import time:       664 |        664 |                               _contextvars
import time:       654 |       1318 |                             contextvars
import time:       159 |        159 |                               asyncio.exceptions
import time:       105 |        105 |                               asyncio.base_tasks
import time:      1416 |       1680 |                             _asyncio
import time:       337 |       3333 |                           asyncio.events
import time:       193 |        193 |                           asyncio.futures
import time:       131 |        131 |                           asyncio.protocols
import time:       207 |        207 |                             asyncio.transports
import time:       362 |        569 |                           asyncio.sslproto
import time:        77 |         77 |                               asyncio.mixins
import time:       266 |        266 |                               asyncio.tasks
import time:       185 |        527 |                             asyncio.locks
import time:       255 |        782 |                           asyncio.staggered
import time:       143 |        143 |                           asyncio.trsock
import time:       533 |      12328 |                         asyncio.base_events
import time:        90 |         90 |                         asyncio.runners
import time:       163 |        163 |                         asyncio.queues
import time:       388 |        388 |                         asyncio.streams
import time:       163 |        163 |                         asyncio.subprocess
import time:        67 |         67 |                         asyncio.threads
