   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Uninstalled 1 package in 30ms
Installed 1 package in 92ms
import time: self [us] | cumulative | imported package
import time:       946 |       5263 |                         shutil
import time:      1334 |       6596 |                       zipfile
import time:       879 |        879 |                           uu
import time:       690 |        690 |                           quopri
import time:      1223 |       1223 |                                 locale
import time:       914 |       2136 |                               calendar
import time:       218 |       2354 |                             email._parseaddr
import time:        96 |         96 |                               email.base64mime
import time:       157 |        157 |                               email.quoprimime
import time:       408 |        408 |                               email.errors
import time:       109 |        109 |                               email.encoders
import time:       206 |        974 |                             email.charset
import time:       431 |       3757 |                           email.utils
import time:       880 |        880 |                             email.header
import time:       613 |       1493 |                           email._policybase
import time:       304 |        304 |                           email._encoded_words
import time:       438 |        438 |                           email.iterators
import time:       953 |       8512 |                         email.message
import time:       266 |        266 |                           importlib.metadata._functools
import time:       356 |        622 |                         importlib.metadata._text
import time:       876 |      10009 |                       importlib.metadata._adapters
import time:       447 |        447 |                       importlib.metadata._meta
import time:       491 |        491 |                       importlib.metadata._collections
import time:       299 |        299 |                       importlib.metadata._itertools
import time:       701 |        701 |                       importlib.abc
import time:      1879 |      22611 |                     importlib.metadata
import time:      5925 |       5925 |                                 sysconfig
import time:      4361 |       4361 |                                   packaging._elffile
import time:      4250 |       8611 |                                 packaging._manylinux
import time:      4969 |       4969 |                                 packaging._musllinux
import time:      4850 |      24353 |                               packaging.tags
import time:      4830 |      29182 |                             packaging.utils
import time:      6748 |      35929 |                           packaging.specifiers
import time:      7036 |      42965 |                         packaging._tokenizer
import time:      4343 |      47307 |                       packaging._parser
import time:      5524 |       5524 |                       packaging.markers
import time:      4663 |      57493 |                     packaging.requirements
import time:      5591 |      85695 |                   lightning_utilities.core.imports
import time:       460 |        460 |                           unittest.util
import time:       597 |       1056 |                         unittest.result
import time:      1458 |       1458 |                           difflib
import time:      1031 |       1031 |                           pprint
import time:      1105 |       3593 |                         unittest.case
import time:       395 |        395 |                         unittest.suite
import time:       729 |        729 |                         unittest.loader
import time:       352 |        352 |                             unittest.signals
import time:       415 |        767 |                           unittest.runner
import time:       347 |       1114 |                         unittest.main
import time:       977 |       7860 |                       unittest
import time:       894 |        894 |                             concurrent
import time:      1076 |       1076 |                             concurrent.futures._base
import time:       587 |       2557 |                           concurrent.futures
import time:      5565 |       5565 |                             _ssl
import time:      3517 |       9082 |                           ssl
import time:       380 |        380 |                           asyncio.constants
import time:       239 |        239 |                               asyncio.format_helpers
import time:       269 |        507 |                             asyncio.base_futures
import time:       255 |        255 |                             asyncio.log
import time:       394 |       1156 |                           asyncio.coroutines
import time:       871 |        871 |                               _contextvars
import time:      1227 |       2098 |                             contextvars
import time:       370 |        370 |                               asyncio.exceptions
import time:       275 |        275 |                               asyncio.base_tasks
import time:      1498 |       2143 |                             _asyncio
import time:       626 |       4865 |                           asyncio.events
import time:       262 |        262 |                           asyncio.futures
import time:       314 |        314 |                           asyncio.protocols
import time:       401 |        401 |                             asyncio.transports
import time:       499 |        900 |                           asyncio.sslproto
import time:       342 |        342 |                               asyncio.mixins
import time:      1354 |       1354 |                               asyncio.tasks
import time:       387 |       2082 |                             asyncio.locks
import time:       454 |       2536 |                           asyncio.staggered
import time:       352 |        352 |                           asyncio.trsock
import time:      1186 |      23582 |                         asyncio.base_events
import time:       264 |        264 |                         asyncio.runners
import time:       327 |        327 |                         asyncio.queues
import time:       451 |        451 |                         asyncio.streams
import time:       339 |        339 |                         asyncio.subprocess
import time:       185 |        185 |                         asyncio.threads
import time:       375 |        375 |                           asyncio.base_subprocess
import time:       493 |        493 |                           asyncio.selector_events
import time:       667 |       1535 |                         asyncio.unix_events
import time:      1039 |      27718 |                       asyncio
import time:      1214 |      36791 |                     unittest.mock
import time:      6465 |      43255 |                   lightning_utilities.core.overrides
import time:      5974 |       5974 |                   lightning_utilities.core.rank_zero
import time:      8946 |     165237 |                 lightning_utilities.core
import time:        21 |     165258 |               lightning_utilities.core.apply_func
import time:      9459 |     181685 |             lightning_utilities
import time:        10 |     181695 |           lightning_utilities.core
import time:        23 |     181718 |         lightning_utilities.core.imports
import time:      2267 |       2267 |               _ctypes
import time:       624 |        624 |               ctypes._endian
import time:      1683 |       4573 |             ctypes
import time:       922 |        922 |             glob
import time:      8368 |       8368 |             torch._utils
import time:       964 |        964 |               tempfile
import time:      9575 |       9575 |                 torch._strobelight
import time:       832 |        832 |                       _json
import time:       405 |       1236 |                     json.scanner
import time:       367 |       1602 |                   json.decoder
import time:       384 |        384 |                   json.encoder
import time:       838 |       2823 |                 json
import time:      7585 |       7585 |                 torch._strobelight.cli_function_profiler
import time:     13122 |      33104 |               torch._strobelight.compile_time_profiler
import time:      5380 |      39447 |             torch._utils_internal
import time:      9269 |       9269 |                   torch._vendor
import time:     13764 |      23033 |                 torch._vendor.packaging
import time:      7609 |       7609 |                 torch._vendor.packaging._structures
import time:     11693 |      42334 |               torch._vendor.packaging.version
import time:      4819 |       4819 |               torch.version
import time:      4802 |      51954 |             torch.torch_version
import time:       828 |        828 |             torch._rocm_init
import time:     11011 |      11011 |                     numpy._utils._convertions
import time:     21525 |      32536 |                   numpy._utils
import time:      6458 |      38993 |                 numpy._globals
import time:      5128 |       5128 |                 numpy.exceptions
import time:      4869 |       4869 |                 numpy.version
import time:       415 |        415 |                   numpy._distributor_init_local
import time:      5157 |       5571 |                 numpy._distributor_init
import time:      4887 |       4887 |                           numpy._utils._inspect
import time:      5621 |       5621 |                             numpy.core._exceptions
import time:      6021 |       6021 |                             numpy.dtypes
import time:     97749 |     109389 |                           numpy.core._multiarray_umath
import time:      9674 |     123950 |                         numpy.core.overrides
import time:     16399 |     140348 |                       numpy.core.multiarray
import time:      8626 |       8626 |                       numpy.core.umath
import time:     37267 |      37267 |                         numpy.core._string_helpers
import time:      1198 |       1198 |                               pickle5
import time:      8851 |      10049 |                             numpy.compat.py3k
import time:      7712 |      17760 |                           numpy.compat
import time:      5098 |       5098 |                           numpy.core._dtype
import time:      9952 |      32809 |                         numpy.core._type_aliases
import time:      6839 |      76914 |                       numpy.core.numerictypes
import time:      3909 |       3909 |                               numpy.core._ufunc_config
import time:      4441 |       8349 |                             numpy.core._methods
import time:      5849 |      14197 |                           numpy.core.fromnumeric
import time:      3618 |      17815 |                         numpy.core.shape_base
import time:      4249 |       4249 |                         numpy.core.arrayprint
import time:      4355 |       4355 |                         numpy.core._asarray
import time:      5236 |      31653 |                       numpy.core.numeric
import time:      4885 |       4885 |                       numpy.core.defchararray
import time:      3686 |       3686 |                       numpy.core.records
import time:      4014 |       4014 |                       numpy.core.memmap
import time:      5850 |       5850 |                       numpy.core.function_base
import time:      3802 |       3802 |                       numpy.core._machar
import time:      3815 |       3815 |                       numpy.core.getlimits
import time:      4940 |       4940 |                       numpy.core.einsumfunc
import time:      2684 |       2684 |                         numpy.core._multiarray_tests
import time:      4768 |       7451 |                       numpy.core._add_newdocs
import time:      4036 |       4036 |                       numpy.core._add_newdocs_scalars
import time:      4831 |       4831 |                       numpy.core._dtype_ctypes
import time:      4480 |       4480 |                       numpy.core._internal
import time:      3876 |       3876 |                       numpy._pytesttester
import time:     12163 |     325365 |                     numpy.core
import time:        32 |     325397 |                   numpy.core._multiarray_umath
import time:      7433 |     332829 |                 numpy.__config__
import time:      8797 |       8797 |                   numpy.lib.mixins
import time:      4988 |       4988 |                       numpy.lib.ufunclike
import time:      7317 |      12305 |                     numpy.lib.type_check
import time:      5731 |      18035 |                   numpy.lib.scimath
import time:      4994 |       4994 |                               numpy.lib.stride_tricks
import time:      5376 |      10369 |                             numpy.lib.twodim_base
import time:      4367 |       4367 |                             numpy.linalg._umath_linalg
import time:      7497 |       7497 |                               numpy._typing._nested_sequence
import time:      4738 |       4738 |                               numpy._typing._nbit
import time:      6422 |       6422 |                               numpy._typing._char_codes
import time:      5292 |       5292 |                               numpy._typing._scalars
import time:      6114 |       6114 |                               numpy._typing._shape
import time:      7039 |       7039 |                               numpy._typing._dtype_like
